Titre,ID,Date,Nature,Etat,Origine,Date Publication
LOI n° 2008-1443 du 30 décembre 2008 de finances rectificative pour 2008 (1),LEGITEXT000020042016_16-03-2011,2008-12-30,LOI,VIGUEUR,LEGI,2009-01-01T00:00:00.000+0000
"Arrêté du 30 décembre 2008 relatif aux prescriptions techniques de sécurité applicables aux bateaux de marchandises, aux bateaux à passagers et aux engins flottants naviguant ou stationnant sur les eaux intérieures",LEGITEXT000021248962_05-10-2013,2008-12-30,ARRETE,VIGUEUR,LEGI,2009-03-20T00:00:00.000+0000
LOI n° 2008-1443 du 30 décembre 2008 de finances rectificative pour 2008 (1),LEGITEXT000020042016_01-01-2018,2008-12-30,LOI,VIGUEUR,LEGI,2009-01-01T00:00:00.000+0000
"Arrêté du 30 décembre 2008 relatif aux prescriptions techniques de sécurité applicables aux bateaux de marchandises, aux bateaux à passagers et aux engins flottants naviguant ou stationnant sur les eaux intérieures",LEGITEXT000020414683_21-03-2009,2008-12-30,ARRETE,VIGUEUR,LEGI,2009-03-20T00:00:00.000+0000
"Arrêté du 30 décembre 2008 relatif aux prescriptions techniques de sécurité applicables aux bateaux de marchandises, aux bateaux à passagers et aux engins flottants naviguant ou stationnant sur les eaux intérieures",LEGITEXT000021248962_11-11-2009,2008-12-30,ARRETE,VIGUEUR,LEGI,2009-03-20T00:00:00.000+0000
"Arrêté du 30 décembre 2008 relatif aux prescriptions techniques de sécurité applicables aux bateaux de marchandises, aux bateaux à passagers et aux engins flottants naviguant ou stationnant sur les eaux intérieures",LEGITEXT000021248962_22-07-2018,2008-12-30,ARRETE,VIGUEUR,LEGI,2009-03-20T00:00:00.000+0000
"Arrêté du 30 décembre 2008 relatif aux prescriptions techniques de sécurité applicables aux bateaux de marchandises, aux bateaux à passagers et aux engins flottants naviguant ou stationnant sur les eaux intérieures",LEGITEXT000021248962_28-03-2013,2008-12-30,ARRETE,VIGUEUR,LEGI,2009-03-20T00:00:00.000+0000
"Arrêté du 30 décembre 2008 relatif aux prescriptions techniques de sécurité applicables aux bateaux de marchandises, aux bateaux à passagers et aux engins flottants naviguant ou stationnant sur les eaux intérieures",LEGITEXT000020414683_07-12-2018,2008-12-30,ARRETE,MODIFIE,LEGI,2009-03-20T00:00:00.000+0000
LOI n° 2008-1443 du 30 décembre 2008 de finances rectificative pour 2008 (1),LEGITEXT000020042016_01-01-2011,2008-12-30,LOI,VIGUEUR,LEGI,2009-01-01T00:00:00.000+0000
LOI n° 2008-1443 du 30 décembre 2008 de finances rectificative pour 2008 (1),LEGITEXT000020042016_30-12-2019,2008-12-30,LOI,VIGUEUR,LEGI,2009-01-01T00:00:00.000+0000
"Arrêté du 30 décembre 2008 relatif aux prescriptions techniques de sécurité applicables aux bateaux de marchandises, aux bateaux à passagers et aux engins flottants naviguant ou stationnant sur les eaux intérieures",LEGITEXT000021248962_26-11-2017,2008-12-30,ARRETE,VIGUEUR,LEGI,2009-03-20T00:00:00.000+0000
"Arrêté du 30 décembre 2008 relatif aux prescriptions techniques de sécurité applicables aux bateaux de marchandises, aux bateaux à passagers et aux engins flottants naviguant ou stationnant sur les eaux intérieures",LEGITEXT000021248962_07-12-2018,2008-12-30,ARRETE,ABROGE,LEGI,2009-03-20T00:00:00.000+0000
LOI n° 2008-1425 du 27 décembre 2008 de finances pour 2009 (1),LEGITEXT000020000009_30-12-2011,2008-12-27,LOI,VIGUEUR,LEGI,2008-12-31T00:00:00.000+0000
LOI n° 2008-1425 du 27 décembre 2008 de finances pour 2009 (1),LEGITEXT000020000009_01-01-2015,2008-12-27,LOI,VIGUEUR,LEGI,2008-12-31T00:00:00.000+0000
LOI n° 2008-1425 du 27 décembre 2008 de finances pour 2009 (1),LEGITEXT000020000009_10-08-2014,2008-12-27,LOI,VIGUEUR,LEGI,2008-12-31T00:00:00.000+0000
LOI n° 2008-1425 du 27 décembre 2008 de finances pour 2009 (1),LEGITEXT000020000009_30-12-2019,2008-12-27,LOI,VIGUEUR,LEGI,2008-12-31T00:00:00.000+0000
LOI n° 2008-1425 du 27 décembre 2008 de finances pour 2009 (1),LEGITEXT000020000009_29-12-2008,2008-12-27,LOI,VIGUEUR,LEGI,2008-12-31T00:00:00.000+0000
LOI n° 2008-1425 du 27 décembre 2008 de finances pour 2009 (1),LEGITEXT000020000009_30-12-2017,2008-12-27,LOI,VIGUEUR,LEGI,2008-12-31T00:00:00.000+0000
LOI n° 2008-1425 du 27 décembre 2008 de finances pour 2009 (1),LEGITEXT000020000009_01-01-2010,2008-12-27,LOI,VIGUEUR,LEGI,2008-12-31T00:00:00.000+0000
LOI n° 2008-1425 du 27 décembre 2008 de finances pour 2009 (1),LEGITEXT000020000009_01-01-2014,2008-12-27,LOI,VIGUEUR,LEGI,2008-12-31T00:00:00.000+0000
LOI n° 2008-1425 du 27 décembre 2008 de finances pour 2009 (1),LEGITEXT000020000009_20-12-2013,2008-12-27,LOI,VIGUEUR,LEGI,2008-12-31T00:00:00.000+0000
LOI n° 2008-1425 du 27 décembre 2008 de finances pour 2009 (1),LEGITEXT000020000009_18-08-2012,2008-12-27,LOI,VIGUEUR,LEGI,2008-12-31T00:00:00.000+0000
LOI n° 2008-1425 du 27 décembre 2008 de finances pour 2009 (1),LEGITEXT000020000009_31-12-2018,2008-12-27,LOI,VIGUEUR,LEGI,2008-12-31T00:00:00.000+0000
LOI n° 2008-1425 du 27 décembre 2008 de finances pour 2009 (1),LEGITEXT000020000009_01-01-2012,2008-12-27,LOI,VIGUEUR,LEGI,2008-12-31T00:00:00.000+0000
LOI n° 2008-1425 du 27 décembre 2008 de finances pour 2009 (1),LEGITEXT000020000009_27-03-2014,2008-12-27,LOI,VIGUEUR,LEGI,2008-12-31T00:00:00.000+0000
LOI n° 2008-1425 du 27 décembre 2008 de finances pour 2009 (1),LEGITEXT000020000009_01-01-2011,2008-12-27,LOI,VIGUEUR,LEGI,2008-12-31T00:00:00.000+0000
LOI n° 2008-1425 du 27 décembre 2008 de finances pour 2009 (1),LEGITEXT000020000009_16-04-2009,2008-12-27,LOI,VIGUEUR,LEGI,2008-12-31T00:00:00.000+0000
LOI n° 2008-1425 du 27 décembre 2008 de finances pour 2009 (1),LEGITEXT000020000009_26-07-2009,2008-12-27,LOI,VIGUEUR,LEGI,2008-12-31T00:00:00.000+0000
LOI n° 2008-1425 du 27 décembre 2008 de finances pour 2009 (1),LEGITEXT000020000009_01-01-2018,2008-12-27,LOI,VIGUEUR,LEGI,2008-12-31T00:00:00.000+0000
LOI n° 2008-1425 du 27 décembre 2008 de finances pour 2009 (1),LEGITEXT000020000009_06-02-2009,2008-12-27,LOI,VIGUEUR,LEGI,2008-12-31T00:00:00.000+0000
LOI n° 2008-1425 du 27 décembre 2008 de finances pour 2009 (1),LEGITEXT000020000009_07-12-2018,2008-12-27,LOI,VIGUEUR,LEGI,2008-12-31T00:00:00.000+0000
LOI n° 2008-1425 du 27 décembre 2008 de finances pour 2009 (1),LEGITEXT000020000009_31-12-2023,2008-12-27,LOI,VIGUEUR,LEGI,2008-12-31T00:00:00.000+0000
LOI n° 2008-1425 du 27 décembre 2008 de finances pour 2009 (1),LEGITEXT000020000009_08-08-2019,2008-12-27,LOI,VIGUEUR,LEGI,2008-12-31T00:00:00.000+0000
LOI n° 2008-1425 du 27 décembre 2008 de finances pour 2009 (1),LEGITEXT000020000009_29-05-2009,2008-12-27,LOI,VIGUEUR,LEGI,2008-12-31T00:00:00.000+0000
LOI n° 2008-1425 du 27 décembre 2008 de finances pour 2009 (1),LEGITEXT000020000009_01-01-2013,2008-12-27,LOI,VIGUEUR,LEGI,2008-12-31T00:00:00.000+0000
LOI n° 2008-1425 du 27 décembre 2008 de finances pour 2009 (1),LEGITEXT000020000009_01-01-2017,2008-12-27,LOI,VIGUEUR,LEGI,2008-12-31T00:00:00.000+0000
LOI n° 2008-1425 du 27 décembre 2008 de finances pour 2009 (1),LEGITEXT000020000009_31-12-2013,2008-12-27,LOI,VIGUEUR,LEGI,2008-12-31T00:00:00.000+0000
LOI n° 2008-1425 du 27 décembre 2008 de finances pour 2009 (1),LEGITEXT000020000009_01-01-2022,2008-12-27,LOI,VIGUEUR,LEGI,2008-12-31T00:00:00.000+0000
LOI n° 2008-1425 du 27 décembre 2008 de finances pour 2009 (1),LEGITEXT000020000009_01-01-2016,2008-12-27,LOI,VIGUEUR,LEGI,2008-12-31T00:00:00.000+0000
Arrêté du 24 décembre 2008  fixant la liste des emplois  de conseiller d'administration de la défense,LEGITEXT000020033759_21-08-2010,2008-12-24,ARRETE,VIGUEUR,LEGI,2009-01-05T00:00:00.000+0000
Arrêté du 24 décembre 2008  fixant la liste des emplois  de conseiller d'administration de la défense,LEGITEXT000020033759_10-02-2010,2008-12-24,ARRETE,VIGUEUR,LEGI,2009-01-05T00:00:00.000+0000
Arrêté du 24 décembre 2008  fixant la liste des emplois  de conseiller d'administration de la défense,LEGITEXT000020033759_09-04-2009,2008-12-24,ARRETE,VIGUEUR,LEGI,2009-01-05T00:00:00.000+0000
Arrêté du 24 décembre 2008  fixant la liste des emplois  de conseiller d'administration de la défense,LEGITEXT000020033759_02-04-2010,2008-12-24,ARRETE,VIGUEUR,LEGI,2009-01-05T00:00:00.000+0000
Arrêté du 24 décembre 2008  fixant la liste des emplois  de conseiller d'administration de la défense,LEGITEXT000020033759_07-10-2009,2008-12-24,ARRETE,VIGUEUR,LEGI,2009-01-05T00:00:00.000+0000
Arrêté du 24 décembre 2008  fixant la liste des emplois  de conseiller d'administration de la défense,LEGITEXT000020033759_01-02-2009,2008-12-24,ARRETE,VIGUEUR,LEGI,2009-01-05T00:00:00.000+0000
Arrêté du 24 décembre 2008  fixant la liste des emplois  de conseiller d'administration de la défense,LEGITEXT000020033759_06-06-2010,2008-12-24,ARRETE,VIGUEUR,LEGI,2009-01-05T00:00:00.000+0000
Arrêté du 24 décembre 2008  fixant la liste des emplois  de conseiller d'administration de la défense,LEGITEXT000020033759_27-06-2009,2008-12-24,ARRETE,VIGUEUR,LEGI,2009-01-05T00:00:00.000+0000
Arrêté du 24 décembre 2008  fixant la liste des emplois  de conseiller d'administration de la défense,LEGITEXT000020033759_16-10-2009,2008-12-24,ARRETE,VIGUEUR,LEGI,2009-01-05T00:00:00.000+0000
Arrêté du 24 décembre 2008  fixant la liste des emplois  de conseiller d'administration de la défense,LEGITEXT000020033759_01-01-2009,2008-12-24,ARRETE,VIGUEUR,LEGI,2009-01-05T00:00:00.000+0000
Arrêté du 22 décembre 2008 portant création d'un traitement automatisé dénommé « GARDIAN »  relatif au suivi de la gestion des biens saisis placés en gardiennage,LEGITEXT000020141598_24-01-2009,2008-12-22,ARRETE,VIGUEUR,LEGI,2009-01-23T00:00:00.000+0000
Arrêté du 22 décembre 2008 portant création d'un traitement automatisé dénommé « GARDIAN »  relatif au suivi de la gestion des biens saisis placés en gardiennage,LEGITEXT000020141598_01-01-2020,2008-12-22,ARRETE,VIGUEUR,LEGI,2009-01-23T00:00:00.000+0000
Arrêté du 19 décembre 2008 relatif aux prescriptions générales applicables aux installations classées soumises à déclaration sous la rubrique n° 1434,LEGITEXT000030706333_01-01-2016,2008-12-19,ARRETE,VIGUEUR,LEGI,2008-12-30T00:00:00.000+0000
Arrêté du 19 décembre 2008 fixant les règles générales et prescriptions techniques applicables aux installations classées soumises à autorisation sous la rubrique n° 1434-1,LEGITEXT000030706348_01-06-2015,2008-12-19,ARRETE,VIGUEUR,LEGI,2008-12-27T00:00:00.000+0000
Arrêté du 19 décembre 2008 portant organisation de la direction de la sécurité de l'aviation civile,LEGITEXT000020037416_11-11-2011,2008-12-19,ARRETE,VIGUEUR,LEGI,2009-01-01T00:00:00.000+0000
Arrêté du 19 décembre 2008  modifiant l'arrêté du 19 décembre 2007 publiant les règles et exonérations relatives à la redevance de route relatif aux exonérations des <mark>vols</mark> militaires français,LEGITEXT000020031897_28-12-2008,2008-12-19,ARRETE,VIGUEUR,LEGI,2008-12-27T00:00:00.000+0000
Arrêté du 19 décembre 2008 portant approbation du programme d'enquêtes statistiques d'initiative nationale des services publics pour 2009,LEGITEXT000021235312_04-12-2009,2008-12-19,ARRETE,VIGUEUR,LEGI,2009-01-20T00:00:00.000+0000
Arrêté du 19 décembre 2008 relatif aux prescriptions générales applicables aux installations classées soumises à déclaration sous la rubrique n° 1434,LEGITEXT000030706333_01-06-2015,2008-12-19,ARRETE,VIGUEUR,LEGI,2008-12-30T00:00:00.000+0000
Arrêté du 19 décembre 2008 portant organisation de la direction de la sécurité de l'aviation civile,LEGITEXT000020037416_01-01-2009,2008-12-19,ARRETE,VIGUEUR,LEGI,2009-01-01T00:00:00.000+0000
Arrêté du 19 décembre 2008 relatif aux prescriptions générales applicables aux installations classées soumises à déclaration sous la rubrique n° 1434,LEGITEXT000030706333_31-12-2020,2008-12-19,ARRETE,VIGUEUR,LEGI,2008-12-30T00:00:00.000+0000
Arrêté du 19 décembre 2008 relatif aux prescriptions générales applicables aux installations classées soumises à déclaration sous la rubrique n° 1434 (Installation de remplissage ou de distribution de liquides inflammables),LEGITEXT000020036804_31-12-2008,2008-12-19,ARRETE,VIGUEUR,LEGI,2008-12-30T00:00:00.000+0000
Arrêté du 19 décembre 2008 relatif aux prescriptions générales applicables aux installations classées soumises à déclaration sous la rubrique n° 1434 (Installation de remplissage ou de distribution de liquides inflammables),LEGITEXT000020036804_01-01-2014,2008-12-19,ARRETE,VIGUEUR,LEGI,2008-12-30T00:00:00.000+0000
Arrêté du 19 décembre 2008 portant organisation de la direction de la sécurité de l'aviation civile,LEGITEXT000020037416_09-08-2009,2008-12-19,ARRETE,VIGUEUR,LEGI,2009-01-01T00:00:00.000+0000
Arrêté du 19 décembre 2008 portant organisation de la direction de la sécurité de l'aviation civile,LEGITEXT000020037416_22-01-2014,2008-12-19,ARRETE,VIGUEUR,LEGI,2009-01-01T00:00:00.000+0000
Arrêté du 19 décembre 2008 portant organisation de la direction de la sécurité de l'aviation civile,LEGITEXT000020037416_30-03-2014,2008-12-19,ARRETE,VIGUEUR,LEGI,2009-01-01T00:00:00.000+0000
Arrêté du 19 décembre 2008 portant approbation du programme d'enquêtes statistiques d'initiative nationale des services publics pour 2009,LEGITEXT000021235312_21-01-2009,2008-12-19,ARRETE,VIGUEUR,LEGI,2009-01-20T00:00:00.000+0000
Arrêté du 19 décembre 2008 fixant les règles générales et prescriptions techniques applicables aux stations-service soumises à autorisation sous la rubrique n° 1434 (Installation de remplissage ou de distribution de liquides inflammables),LEGITEXT000020007594_28-12-2008,2008-12-19,ARRETE,VIGUEUR,LEGI,2008-12-27T00:00:00.000+0000
Arrêté du 19 décembre 2008 fixant les règles générales et prescriptions techniques applicables aux installations classées soumises à autorisation sous la rubrique n° 1434-1,LEGITEXT000030706348_02-06-2023,2008-12-19,ARRETE,VIGUEUR,LEGI,2008-12-27T00:00:00.000+0000
Arrêté du 19 décembre 2008 relatif aux prescriptions générales applicables aux installations classées soumises à déclaration sous la rubrique n° 1434,LEGITEXT000030706333_02-06-2023,2008-12-19,ARRETE,VIGUEUR,LEGI,2008-12-30T00:00:00.000+0000
Arrêté du 19 décembre 2008 portant approbation du programme d'enquêtes statistiques d'initiative nationale des services publics pour 2009,LEGITEXT000021235312_06-11-2009,2008-12-19,ARRETE,VIGUEUR,LEGI,2009-01-20T00:00:00.000+0000
Arrêté du 19 décembre 2008 pris en application du décret n° 2003-1284 du 26 décembre 2003 relatif au régime indemnitaire de certains magistrats de l'ordre judiciaire,LEGITEXT000020077664_01-01-2009,2008-12-19,ARRETE,VIGUEUR,LEGI,2009-01-01T00:00:00.000+0000
Arrêté du 18 décembre 2008 relatif aux modalités de contrôle des pulvérisateurs pris en application du 1° de l'article D. 256-14 du code rural et de la pêche maritime,LEGITEXT000032750734_22-06-2016,2008-12-18,ARRETE,VIGUEUR,LEGI,2008-12-26T00:00:00.000+0000
Arrêté du 18 décembre 2008 relatif aux modalités de contrôle des pulvérisateurs à rampe et pour arbres et arbustes pris en application de l'article D. 256-28 du code rural et de la pêche maritime ,LEGITEXT000022417160_08-05-2010,2008-12-18,ARRETE,VIGUEUR,LEGI,2008-12-26T00:00:00.000+0000
Arrêté du 18 décembre 2008 relatif aux modalités de contrôle des pulvérisateurs à rampe et pour arbres et arbustes pris en application de l'article D. 256-28 du code rural,LEGITEXT000020006715_01-01-2009,2008-12-18,ARRETE,VIGUEUR,LEGI,2008-12-26T00:00:00.000+0000
Ordonnance n° 2008-1340 du 18 décembre 2008 relative au contrôle de la fabrication et du commerce des précurseurs de drogues,LEGITEXT000019953630_20-12-2008,2008-12-18,ORDONNANCE,VIGUEUR,LEGI,2008-12-19T00:00:00.000+0000
Arrêté du 17 décembre 2008 relatif aux missions et à l'organisation du service de protection des hautes personnalités,LEGITEXT000019983062_01-09-2010,2008-12-17,ARRETE,VIGUEUR,LEGI,2008-12-18T00:00:00.000+0000
Arrêté du 17 décembre 2008 établissant les critères d'évaluation et les modalités de détermination de l'état des eaux souterraines et des tendances significatives et durables de <mark>dégradation</mark> de l'état chimique des eaux souterraines,LEGITEXT000020091602_15-09-2012,2008-12-17,ARRETE,VIGUEUR,LEGI,2009-01-07T00:00:00.000+0000
Arrêté du 17 décembre 2008 établissant les critères d'évaluation et les modalités de détermination de l'état des eaux souterraines et des tendances significatives et durables de <mark>dégradation</mark> de l'état chimique des eaux souterraines,LEGITEXT000020091602_08-01-2009,2008-12-17,ARRETE,VIGUEUR,LEGI,2009-01-07T00:00:00.000+0000
Arrêté du 17 décembre 2008 relatif aux missions et à l'organisation du service de protection des hautes personnalités,LEGITEXT000019983062_19-12-2008,2008-12-17,ARRETE,VIGUEUR,LEGI,2008-12-18T00:00:00.000+0000
Arrêté du 17 décembre 2008 établissant les critères d'évaluation et les modalités de détermination de l'état des eaux souterraines et des tendances significatives et durables de <mark>dégradation</mark> de l'état chimique des eaux souterraines,LEGITEXT000020091602_27-06-2016,2008-12-17,ARRETE,VIGUEUR,LEGI,2009-01-07T00:00:00.000+0000
